"Designator","Mid X","Mid Y","Layer","Rotation"
"U1","25","25","Top","0"
"U2","15","30","Top","0"
"U3","45","15","Top","0"
"U4","45","25","Top","0"
"U5","45","35","Top","0"
"U6","10","42","Top","0"
"Y1","15","20","Top","0"
"J1","40","47","Top","180"
"C1","21","21","Top","0"
"C2","21","25","Top","0"
"C3","21","29","Top","0"
"C4","29","21","Top","0"
"C5","29","29","Top","0"
"C6","13","18","Top","0"
"C7","17","18","Top","0"
"C8","6","42","Top","0"
"C9","14","42","Top","0"
"LED1","55","42","Top","0"
"LED2","55","45","Top","0"
"SW1","25","40","Top","0"
"R1","35","38","Top","0"
"R2","35","40","Top","0"
"R3","32","25","Top","90"
"R4","32","27","Top","90"
"R5","52","42","Top","0"
"R6","52","45","Top","0"
