"Designator","Package","Quantity","Value","Description","LCSC Part#","Unit Price"
"U1","ZIF-40","1","ZIF-40","40-pin ZIF Socket","-","2.50"
"U2","LQFP-48","1","STM32G0B1CBT6","ARM Cortex-M0+ MCU 128KB","C2837515","2.80"
"U3,U4,U5,U6","TSSOP-20","4","74LVC245APW","8-bit Level Shifter","C6396","0.15"
"U7","SOT-223","1","AMS1117-3.3","3.3V LDO Regulator","C6186","0.12"
"J1","USB-C","1","USB4105-GF-A","USB Type-C Receptacle","C2927038","0.35"
"C1,C2,C3,C4,C5","0402","5","100nF","MLCC Capacitor","C1525","0.01"
"C6,C7,C8,C9","0402","4","100nF","Level Shifter Decoupling","C1525","0.01"
"C10,C11","0805","2","10uF","Regulator Capacitors","C15850","0.02"
"LED1,LED2","0603","2","Green","Status LED","C72043","0.02"
"R1,R2","0402","2","27R","USB Series Resistor","C25092","0.01"
"R3,R4","0402","2","10K","Pull-up/down","C25744","0.01"
"R5,R6","0402","2","330R","LED Resistor","C25179","0.01"

"TOTAL BOM COST (excl. ZIF socket)","","","","","","~4.20 EUR"
"TOTAL BOM COST (incl. ZIF socket)","","","","","","~6.70 EUR"

"PCB COST (2-layer, 100x60mm, JLCPCB)","","","","","","~2.50 EUR"
"ASSEMBLY COST (SMT)","","","","","","~4.00 EUR"

"ESTIMATED TOTAL PER UNIT","","","","","","~13.20 EUR"
