"Designator","Mid X","Mid Y","Layer","Rotation"
"U2","25","30","Top","0"
"U3","45","15","Top","0"
"U4","45","27","Top","0"
"U5","45","39","Top","0"
"U6","45","51","Top","0"
"U7","12","50","Top","0"
"J1","25","57","Top","180"
"C1","20","27","Top","0"
"C2","20","30","Top","0"
"C3","20","33","Top","0"
"C4","30","27","Top","0"
"C5","30","33","Top","0"
"C6","40","15","Top","0"
"C7","40","27","Top","0"
"C8","40","39","Top","0"
"C9","40","51","Top","0"
"C10","8","50","Top","0"
"C11","16","50","Top","0"
"LED1","12","15","Top","0"
"LED2","12","18","Top","0"
"R1","22","52","Top","0"
"R2","22","54","Top","0"
"R3","18","30","Top","90"
"R4","32","30","Top","90"
"R5","9","15","Top","0"
"R6","9","18","Top","0"
